ID do Produto;Transação;Operação (Entrada/Saída);Data de Entrada;Data de Saída;Quantidade;Data de Validade
54;bcc5c6a1-69c6-4272-a540-ba857d68899b;Entrada;2024-07-08;;1;2025-06-03
55;02204172-bc82-4a36-9cfc-704b2777b0c2;Saída;;2024-07-26;2;2024-12-30
70;371f0c9b-04d2-45ca-ad3c-950429527ccd;Entrada;2024-07-05;;3;2024-08-22
51;2b03d3e8-4812-4ba2-b31b-0ee9f3ab1406;Saída;;2024-07-25;4;2025-01-25
63;ab22b100-ed0f-4675-9aa6-b772f51da81b;Entrada;2024-07-01;;5;2025-03-15
6;4a257151-f91f-4e43-865d-05f0ce410b4a;Saída;;2024-07-03;6;2025-05-22
80;48ce5a04-a55b-4a18-acf6-fe5193f40f36;Entrada;2024-07-24;;7;2024-07-26
13;ca86667c-4d91-4426-8b77-9a4f589bee51;Saída;;2024-07-13;8;2024-10-29
3;e9685538-192d-42a2-a876-795b719b0bdf;Entrada;2024-07-25;;9;2025-01-16
75;7eb96781-414b-41c1-9755-f45af3d2db3d;Saída;;2024-07-08;10;2024-09-11
33;345b9da7-da9c-4803-907e-4773f1997c60;Entrada;2024-07-20;;11;2025-04-28
59;34ca9203-d0ee-450b-a419-210151a9b195;Saída;;2024-07-08;12;2025-06-18
50;3c09e5b1-78c6-4076-b851-5c1794f61a70;Entrada;2024-07-10;;13;2024-10-24
3;7cc0b37d-1901-4aa7-9394-1388ff13643a;Saída;;2024-07-18;14;2025-05-14
67;89368bc3-aabc-4d97-8d83-42e0dcba9c12;Entrada;2024-07-01;;15;2024-08-22
20;b9df19ab-05b6-4891-a4d8-dd92d9b3641f;Saída;;2024-07-20;16;2024-11-29
70;066191df-1a93-49bc-888b-c3e7c1186cfd;Entrada;2024-07-04;;17;2025-06-30
41;5a038673-45e1-421b-b2cf-e2170fe13240;Saída;;2024-07-08;18;2024-08-16
76;cc66098e-64a7-4b59-8d4c-20eaf0039201;Entrada;2024-07-21;;19;2024-11-12
76;cff1720a-5ed0-4d80-8514-8d60a330580d;Saída;;2024-07-28;20;2024-10-29
70;5a93da7b-b99f-47de-8ff6-1d9730386e40;Entrada;2024-07-19;;21;2024-07-03
55;3115ac79-8131-41ee-bff3-85929520f5c8;Saída;;2024-07-01;22;2025-05-28
8;9e9f3560-d2e3-4de8-877e-2d1e42da4e77;Entrada;2024-07-28;;23;2025-05-27
6;7cfb88b9-9a44-48bc-827c-ba8b07c21465;Saída;;2024-07-06;24;2025-03-15
11;b9ce3c54-e279-4ab1-b4a5-6c3f179bf12d;Entrada;2024-07-04;;25;2025-05-05
64;a630818e-fb27-4afa-a212-018dcc7781a6;Saída;;2024-07-29;26;2025-03-19
61;4a1a7b3e-a755-4945-b249-80bd7ea3bc17;Entrada;2024-07-30;;27;2024-07-31
12;93fa2b04-0071-4196-bd17-56f74954296e;Saída;;2024-07-01;28;2024-09-05
28;dd3db676-62d0-4fb8-a265-4f78e0b20cfd;Entrada;2024-07-02;;29;2024-09-03
61;e310ba25-4268-47ec-bdca-09da2c90505b;Saída;;2024-07-19;30;2025-01-05
76;2f006449-e08f-4c94-97a5-e0071a82f131;Entrada;2024-07-19;;31;2024-07-03
70;29297397-7371-4c7c-aed6-17ff56fa65db;Saída;;2024-07-15;32;2024-10-21
31;2b7b50d1-199b-4a8d-9f21-771f62e829d8;Entrada;2024-07-04;;33;2025-04-10
54;6c305771-da3c-4e48-9906-59b3713084f1;Saída;;2024-07-24;34;2024-12-30
39;3cf6124c-56ab-4abb-a7b4-574dc0b99867;Entrada;2024-07-14;;35;2024-10-20
50;07acb404-2932-4971-a0b7-8457851f3c42;Saída;;2024-07-11;36;2024-12-30
46;dd9b5790-d7bd-4560-b07e-4dcfcf9fd79d;Entrada;2024-07-17;;37;2025-05-14
51;d3d5a983-b21f-4b6f-806f-25587a834400;Saída;;2024-07-01;38;2024-12-23
66;b3d19545-6ff6-45a9-b4fc-ea18c78e5d35;Entrada;2024-07-06;;39;2025-02-17
43;8c239883-b09f-4655-a3f8-ebf10ef9e254;Saída;;2024-07-14;40;2025-05-11
55;2aa5bcba-6993-4d86-92db-adc512fac1f0;Entrada;2024-07-18;;41;2025-05-31
72;3de25aa2-22d0-416b-8f25-7eeaba879eee;Saída;;2024-07-25;42;2025-02-10
63;ff3e6e3e-aca2-497b-8d82-23d3c4c749b1;Entrada;2024-07-02;;43;2024-07-17
55;cd3c8e95-33a2-4b0b-8e83-d385c2211717;Saída;;2024-07-22;44;2025-02-18
65;2e51cbab-6b40-4277-a731-f0fd3c0135ad;Entrada;2024-07-24;;45;2025-02-18
61;a671a7ea-8fb1-4de7-a46a-1488177368a0;Saída;;2024-07-09;46;2025-06-18
38;c6c6247b-67bb-4ba5-869a-07a3f60543f7;Entrada;2024-07-09;;47;2025-03-31
2;a83c0f01-5b15-4119-a5f3-127d759e6013;Saída;;2024-07-21;48;2025-05-30
55;1e6a1647-4873-42fd-941c-91a3132cea93;Entrada;2024-07-29;;49;2025-05-31
72;510e21d5-a9f6-4b5b-bcf0-2b742fe0295e;Saída;;2024-07-22;50;2025-02-01
45;61778335-4d5e-4aec-8d5e-0f7ed1d624b5;Entrada;2024-07-23;;51;2025-04-26
16;27722b11-8e95-4ab0-bc48-cc3c471135dd;Saída;;2024-07-26;52;2025-02-10
29;715cd89c-51f6-4e06-9709-2db9101125a5;Entrada;2024-07-01;;53;2025-01-08
66;c66c7896-7ac4-467c-a9de-07f9c0884da2;Saída;;2024-07-07;54;2024-08-02
20;258309a8-33b9-4ad2-a644-fc7105ece22a;Entrada;2024-07-20;;55;2025-01-21
77;2c857b93-8770-4867-b49b-7eaddb8f660b;Saída;;2024-07-20;56;2025-05-25
27;5dac01cc-1e5d-4e1f-8257-86d20281b7ad;Entrada;2024-07-28;;57;2025-02-28
77;783ecd56-8562-46bb-a055-1f9011c8a18f;Saída;;2024-07-23;58;2024-09-29
62;8a7bbfba-d464-420e-bee4-b0dcd15b52d4;Entrada;2024-07-22;;59;2024-07-17
12;73c628b0-ee7e-47a0-afcd-1ef2e6984e13;Saída;;2024-07-20;60;2024-12-27
58;b242ab21-7736-482c-95d7-fe8db73810b9;Entrada;2024-07-21;;61;2024-10-08
65;0377157a-be09-4ba1-ba72-87f72c2b862f;Saída;;2024-07-29;62;2024-07-05
4;e272c170-de06-4c4f-95f0-854ad887eea7;Entrada;2024-07-25;;63;2025-03-18
40;43f66795-c19e-4c23-86e5-545cd1741804;Saída;;2024-07-20;64;2024-11-01
80;4e54a403-101a-43f0-97cc-a893ed3f705d;Entrada;2024-07-05;;65;2024-10-28
54;a40262b5-4f17-4fc1-a51d-b4859dd10499;Saída;;2024-07-14;66;2024-11-10
61;8a3efa5b-e3bd-4292-bc8a-e9885ee097aa;Entrada;2024-07-15;;67;2025-05-21
30;11195f96-ec3e-4c13-a65d-9dc03a93e514;Saída;;2024-07-28;68;2024-07-11
20;8e52140c-cb26-4c08-bf93-e3b109c69f2f;Entrada;2024-07-19;;69;2025-04-06
74;5cacfe48-6c0a-4b01-b9ff-61491111a05a;Saída;;2024-07-08;70;2024-11-16
40;91cd2caa-2cb2-4fe4-b627-3dceeebf5c47;Entrada;2024-07-21;;71;2024-07-17
31;4645e00a-08a7-4862-934a-c64869c442c5;Saída;;2024-07-25;72;2025-01-11
51;5ecf1787-3e64-4447-a14b-89633ad4a596;Entrada;2024-07-27;;73;2025-04-02
67;653b88b7-cc8b-4691-928a-e1b14000dcbb;Saída;;2024-07-13;74;2025-04-11
78;58e3b4ed-8838-44db-b470-fc5175e20bbc;Entrada;2024-07-12;;75;2025-04-11
48;b3a80c97-28bd-45de-ba8d-0870cb29361c;Saída;;2024-07-26;76;2024-12-19
56;9e98ed26-2465-45fc-accf-135f73123929;Entrada;2024-07-26;;77;2024-09-06
70;47a260dd-6eb7-44d6-9997-0aa0184b8a9f;Saída;;2024-07-30;78;2024-10-10
18;4e4e2123-a5e0-4e95-88cf-9e6a2157132d;Entrada;2024-07-08;;79;2025-06-26
31;a1d66881-d29b-485c-9e23-160ab4348113;Saída;;2024-07-21;80;2024-08-01
16;acac3bfc-5811-465a-8047-a05246cd471e;Entrada;2024-07-28;;81;2025-01-27
48;36476363-7cab-473d-94d7-651b7a7a12bb;Saída;;2024-07-25;82;2025-06-15
61;232649af-82ed-4c33-b53e-6ae4e63e3c54;Entrada;2024-07-23;;83;2024-12-05
26;4ff943a8-a50f-4266-9a50-7bd95bbda0dc;Saída;;2024-07-24;84;2025-05-18
37;25494900-f7a1-4bca-9961-231bacde16d2;Entrada;2024-07-21;;85;2024-09-30
47;49931f6d-d308-4051-9fd8-f1b08e75cce0;Saída;;2024-07-14;86;2025-02-10
41;7a05afe5-3c5c-4dfa-aec5-2cc3b87d9b57;Entrada;2024-07-15;;87;2025-01-19
69;b171d5f9-99c7-46b9-96ce-719056e61bfd;Saída;;2024-07-27;88;2025-03-12
67;4ad06bdc-b8f6-47d1-8659-534a2c2aaf0c;Entrada;2024-07-24;;89;2024-12-27
37;bd1ac7b6-a3f2-444a-a94f-da505d73fef9;Saída;;2024-07-07;90;2025-04-16
2;b936d179-f8ff-45ce-8d07-23ef152f1297;Entrada;2024-07-07;;91;2025-04-10
18;036e9d80-cdf9-479d-9030-faaa4399fef8;Saída;;2024-07-21;92;2024-10-22
79;4c2237c2-e978-4670-8d88-e41ab5b73f13;Entrada;2024-07-05;;93;2025-06-22
32;e07afc6a-ed95-4c5d-bedd-b2a4e766a46e;Saída;;2024-07-24;94;2025-04-10
31;f9e63a91-5c0f-444d-8e8f-2b3e0aed4653;Entrada;2024-07-08;;95;2025-03-18
65;c7160385-f14d-4c72-8bcf-8aa428c4b05c;Saída;;2024-07-06;96;2025-05-01
53;ecfed62e-5b50-4f01-8bc8-b2b92506ce5f;Entrada;2024-07-18;;97;2025-03-09
35;8fc72b67-81b5-4c26-95d7-9e7a755b8fb5;Saída;;2024-07-03;98;2024-07-09
36;c345c873-2633-421a-b979-c67318c9a336;Entrada;2024-07-30;;99;2025-02-25
43;d3153583-702f-412a-afa8-aac1247354b9;Saída;;2024-07-23;100;2024-08-23
2;63c9d641-cd3d-4d89-be29-b73857612b37;Entrada;2024-07-22;;101;2025-02-23
65;a807631a-2d66-4199-b1f1-c3f0b50ab89c;Saída;;2024-07-26;102;2025-05-21
22;5e731332-4031-47d7-97c1-435b4e3b4696;Entrada;2024-07-28;;103;2025-01-24
74;7d7cf7cf-3e5d-41e6-84f7-91d31fb61670;Saída;;2024-07-02;104;2025-05-21
53;e69456d1-640e-400b-8921-3f499f04095e;Entrada;2024-07-22;;105;2025-04-14
20;2718135d-8dbd-4bc0-8980-5623d80b917a;Saída;;2024-07-13;106;2024-09-28
44;fd95c528-87c9-4e30-b523-4fe1218f343c;Entrada;2024-07-17;;107;2024-09-15
6;489fe103-27b7-4221-ad1e-0b033fe51ce8;Saída;;2024-07-18;108;2024-12-01
44;3180b6b6-6672-4274-a974-5f7a3656004c;Entrada;2024-07-20;;109;2025-01-04
6;5f5cfdb0-0928-47c9-9e33-7e514c93a450;Saída;;2024-07-04;110;2025-03-11
8;65928e38-9b7e-4390-9825-52b8973e4987;Entrada;2024-07-30;;111;2025-05-24
23;a936fcb7-9167-407a-97b2-94f31100dc80;Saída;;2024-07-12;112;2025-03-24
21;22c7efac-d87f-4ad9-a20e-27c34db4d7bc;Entrada;2024-07-10;;113;2025-01-21
79;54fa177c-7a1d-4a2a-b770-65b3187bc147;Saída;;2024-07-08;114;2025-04-23
8;78bbbad5-a579-476e-a3c4-4be554a30a6f;Entrada;2024-07-11;;115;2024-08-19
74;fb1a203d-977e-437d-8887-0ef8a01a613d;Saída;;2024-07-14;116;2025-05-08
32;38655625-a494-4601-a30e-025d61244db5;Entrada;2024-07-30;;117;2025-01-10
25;0def8a6c-c790-48aa-bcb6-eafb7d78e577;Saída;;2024-07-08;118;2024-12-23
54;00f88d3a-44f5-46d6-addd-ee238a90bc1f;Entrada;2024-07-30;;119;2024-11-03
20;213310f7-a81f-409d-baeb-5e640f48e4bc;Saída;;2024-07-26;120;2025-03-01
28;a32fad25-b570-4f74-aabe-48e121c88905;Entrada;2024-07-21;;121;2024-10-25
58;a31d905b-9140-4030-bcc9-1b696f447d66;Saída;;2024-07-10;122;2025-02-05
42;0b1847c8-6d16-4ad5-b7e8-33bfa92621e3;Entrada;2024-07-12;;123;2024-08-03
59;542f0f92-8b30-42ac-9222-a4367b0c6f15;Saída;;2024-07-03;124;2025-03-10
79;866e9bba-98f5-46b4-8fcb-1738ba97abdc;Entrada;2024-07-26;;125;2025-06-29
7;75206919-c2fb-4b00-bd2b-70f80d03109d;Saída;;2024-07-18;126;2025-03-28
24;693fd4dd-52d1-4677-84ab-e35d13454e3f;Entrada;2024-07-26;;127;2025-06-09
43;1052f179-e6cb-4d27-a262-806e625f6c87;Saída;;2024-07-14;128;2025-06-21
27;1d5c059c-8b95-44d1-a403-21231031ae0f;Entrada;2024-07-20;;129;2024-07-05
75;11d710ad-fc96-45e0-a0c1-60aa16b85e54;Saída;;2024-07-10;130;2025-06-11
39;69e7dca6-d2c1-4a4d-bec1-a0b269c371ad;Entrada;2024-07-10;;131;2024-09-27
34;6bab36b3-2c03-41db-81dc-cbe3bc4b5b5e;Saída;;2024-07-09;132;2025-05-29
2;7cca93a6-de98-48e3-a1e7-d57b574230f3;Entrada;2024-07-10;;133;2025-03-26
38;7e0939f4-a610-492f-ac15-0906f9aaa4bc;Saída;;2024-07-16;134;2024-12-19
19;936ed064-b506-4116-aaa2-c6de57bff244;Entrada;2024-07-20;;135;2024-11-25
71;de8aba0c-092d-4920-8cad-fde9d8680c06;Saída;;2024-07-21;136;2025-02-02
72;2dba9467-6c98-429f-9fac-b529768a8e33;Entrada;2024-07-29;;137;2025-06-01
39;ffe0b073-f60c-4ef7-b63d-0888912bf063;Saída;;2024-07-29;138;2024-10-09
42;8b0b05d2-176a-4ac2-aee0-304c29ff6c18;Entrada;2024-07-29;;139;2025-04-28
66;aa8538d3-565b-4ff7-862b-bf1159855d30;Saída;;2024-07-24;140;2025-04-03
54;0d6e47bd-6fd7-4c79-bc05-58010bed49f7;Entrada;2024-07-16;;141;2025-01-17
19;3421d33f-9f16-4d74-80e3-e220c45d6b7a;Saída;;2024-07-01;142;2025-05-10
48;37a2d451-4cd3-4f64-8b3f-5c7cd78f35d1;Entrada;2024-07-21;;143;2024-12-17
31;b79d5907-1775-4230-a15d-b94e87fb64f2;Saída;;2024-07-07;144;2025-03-28
13;441dd5cb-7971-43dd-9618-a67b92467418;Entrada;2024-07-07;;145;2024-10-16
8;0cc5f13c-11a4-42ef-804d-482d5d7ff0f5;Saída;;2024-07-21;146;2025-06-11
32;8269cf6c-5e3c-4742-8b98-d383a6b7da38;Entrada;2024-07-22;;147;2024-08-27
38;598d8d93-28b5-479c-b843-74e2dd349dab;Saída;;2024-07-12;148;2024-09-08
19;9adf4e8d-5523-4029-af5a-d2e6dde53ae4;Entrada;2024-07-05;;149;2025-04-20
60;2d3def78-c7f5-4b05-8c10-d806b8373c70;Saída;;2024-07-05;150;2025-01-01
16;e30bc156-09b4-4571-9fe4-6f3699761330;Entrada;2024-07-19;;151;2024-12-30
70;113a8919-363f-4d14-bfcf-5a8ac81aeac5;Saída;;2024-07-26;152;2024-11-08
65;ed406b1a-6c88-4a04-a1d7-3effb16cbca7;Entrada;2024-07-25;;153;2025-05-12
65;7c7c33c1-2090-42ad-96ae-8e53c4520675;Saída;;2024-07-06;154;2025-02-19
47;d7a9ad95-2181-4f2b-9e7f-b7af128ae47a;Entrada;2024-07-21;;155;2024-08-23
2;de9cc1cc-d4a9-43da-ac13-8193542ab20f;Saída;;2024-07-19;156;2025-02-28
61;13d48352-208d-4623-93ef-7332ca99d4de;Entrada;2024-07-02;;157;2024-10-01
48;c94b0892-041d-478e-86b9-2928deadda87;Saída;;2024-07-11;158;2024-08-21
34;ee524491-9fc3-498a-a9ab-7ddea993d3f2;Entrada;2024-07-19;;159;2024-10-30
62;cf5c90d9-2a58-4c50-9b86-cf5c3b694d40;Saída;;2024-07-21;160;2025-05-16
54;685ff617-6e9a-4758-8af7-772aa59e6b96;Entrada;2024-07-22;;161;2025-02-15
30;5fa7d950-6e7f-44e0-8075-36ce755b849c;Saída;;2024-07-25;162;2025-04-19
24;dfc4a234-e6fc-4d4f-ab12-8436314745f9;Entrada;2024-07-22;;163;2024-08-26
6;38e7d76c-d121-4f51-9b07-a9d55b9a5355;Saída;;2024-07-04;164;2025-05-31
13;e5f3b696-8ecd-4805-b7bb-c56472efefc6;Entrada;2024-07-28;;165;2024-11-07
35;a057ffd4-d618-46b7-8226-6270f46157ef;Saída;;2024-07-08;166;2024-07-11
43;21026217-d80e-4560-b25e-38faf48145df;Entrada;2024-07-27;;167;2025-06-05
11;926b18e5-8cfc-4115-b76a-b2edd45c5885;Saída;;2024-07-12;168;2024-07-11
12;663b641a-76c3-4cf4-9189-0181492049f0;Entrada;2024-07-02;;169;2024-09-30
73;a6f29ea5-f990-4844-b173-8ce4184549db;Saída;;2024-07-07;170;2025-03-07
28;4132b593-275b-442f-b0b5-bcac1ffeb754;Entrada;2024-07-04;;171;2025-04-26
19;56ddeef7-7b61-42c2-82a6-33b6a6c77f70;Saída;;2024-07-30;172;2024-07-05
38;2ca3efe8-73c8-4395-9855-4d4eacf271af;Entrada;2024-07-28;;173;2024-12-29
79;f4265821-97e0-432b-978e-81fe184d7b19;Saída;;2024-07-02;174;2025-03-18
62;5123a939-520a-42b9-9ad3-f3e4c383b8aa;Entrada;2024-07-16;;175;2024-12-09
78;0ca9979e-28ad-430d-9787-478c63154ca9;Saída;;2024-07-12;176;2025-01-19
31;6b5f7ff9-ef66-429d-b661-35e9a0d2b43f;Entrada;2024-07-28;;177;2025-04-16
41;72295d67-f54f-4e67-92c3-630692e80473;Saída;;2024-07-06;178;2024-11-20
60;1cf38b4e-58c7-4009-9eb7-303a5f228e3f;Entrada;2024-07-10;;179;2024-09-22
27;c2b21852-25be-41b0-a371-287a4fa65ad8;Saída;;2024-07-16;180;2025-02-01
17;550557c7-dc7e-45dc-a5a9-3ae7f5c435c3;Entrada;2024-07-22;;181;2025-02-21
45;c375838a-aefe-4c3c-b30b-5126d31e0d83;Saída;;2024-07-29;182;2024-11-10
65;9b0301ce-ad67-4354-9788-42ca57e416fc;Entrada;2024-07-19;;183;2025-04-22
69;41d5d3f2-9b2c-4149-902e-a660febf3891;Saída;;2024-07-10;184;2024-12-31
23;aac57172-be0f-43d1-9140-6a08b08f8085;Entrada;2024-07-01;;185;2024-08-09
20;7fcfdf05-74b7-45bf-9950-339f849844bf;Saída;;2024-07-06;186;2024-09-27
77;0a1cf022-40db-40bd-9f24-dcf9b8ff2147;Entrada;2024-07-08;;187;2024-08-07
3;353530eb-dca1-42a8-af24-7908359f6687;Saída;;2024-07-07;188;2024-08-16
60;e515b28f-8b2d-4637-baf2-2c2342e3fc36;Entrada;2024-07-22;;189;2024-10-09
31;cecef5f2-b8a1-4831-b5ca-72518917e97f;Saída;;2024-07-05;190;2024-12-26
55;2464cee6-ba99-4fad-99eb-e8100ba97eb3;Entrada;2024-07-19;;191;2025-03-14
31;1c389000-256d-4d65-8efc-eca84579bfe7;Saída;;2024-07-19;192;2024-12-02
17;67535c4e-84ad-49ff-99a8-8572e3ce3c48;Entrada;2024-07-27;;193;2025-05-21
7;aa8f0c1a-0b09-4092-a8f6-c957db3199de;Saída;;2024-07-05;194;2024-08-21
48;05d55bce-04e0-4713-9a52-1455aa516572;Entrada;2024-07-05;;195;2025-01-12
53;7cc371a0-6d1e-4feb-a1f2-fed640e8b0c9;Saída;;2024-07-09;196;2025-01-24
70;f266a635-631d-406a-aae4-4c556cf3f3cf;Entrada;2024-07-19;;197;2024-09-19
78;e3419040-b3c5-467d-a082-36e2307379d3;Saída;;2024-07-04;198;2025-02-24
32;506deeb5-1802-45cd-aa4c-9dbcb76c4866;Entrada;2024-07-15;;199;2024-12-25
80;4e5750c0-0370-4395-b5ea-4c1524c1346c;Saída;;2024-07-07;200;2025-06-17
47;329c4fb1-bbee-444e-909e-acf377c11942;Entrada;2024-07-10;;201;2025-01-10
4;b48dc790-8de7-4719-85d7-9f40a77fb38a;Saída;;2024-07-03;202;2024-11-27
30;6cd16a3f-efd2-4826-9a0d-150b91f73a43;Entrada;2024-07-06;;203;2024-08-11
57;4fb7e6de-ff57-4996-a09f-2e18dbee589c;Saída;;2024-07-05;204;2025-02-10
6;fc052730-5d40-4ab1-8f1c-da0d79f349c9;Entrada;2024-07-18;;205;2024-12-02
58;90669258-caea-4b70-a79f-c59adb8fd6b6;Saída;;2024-07-16;206;2025-04-28
5;d5b46acd-1d2a-4102-b3f1-8a65a17cd5ca;Entrada;2024-07-02;;207;2025-02-09
7;f419351b-3ba9-4682-a8ac-8ec0532707e3;Saída;;2024-07-18;208;2025-01-22
9;9545a70f-899c-4dc6-b6e0-02962056b145;Entrada;2024-07-12;;209;2024-08-17
70;c124cf07-7116-4962-8ab2-7dd9da6d9249;Saída;;2024-07-13;210;2024-09-28
65;65e6c9e9-42a5-4e41-968c-5fea5f57c479;Entrada;2024-07-24;;211;2025-06-22
9;d66048b4-3f78-4594-abe5-ed58fe800a9c;Saída;;2024-07-14;212;2025-05-03
26;7e0d9961-2cfd-4338-8970-023dab2b39c9;Entrada;2024-07-26;;213;2025-04-22
75;07a303b3-c206-4223-8ea3-ba004aca5937;Saída;;2024-07-15;214;2024-08-24
27;5a84f9fc-5e61-41ba-8d8b-860a79fdeb26;Entrada;2024-07-03;;215;2025-05-01
50;65c426b9-0ef8-4366-816b-b3528e282378;Saída;;2024-07-17;216;2025-04-15
79;a97a4da1-8373-4d39-a0c3-9bb3f4890e1f;Entrada;2024-07-23;;217;2025-04-19
53;d5e3ed5b-3dbf-4271-a33e-faaef32284a2;Saída;;2024-07-02;218;2024-11-13
8;8a2a8d98-10cf-48bd-b2a3-2b129a34a622;Entrada;2024-07-17;;219;2025-01-16
3;8211a6e1-d8a7-4806-a154-ce1691fd0818;Saída;;2024-07-21;220;2024-10-11
48;ecfed98e-8323-4349-b710-7352bdfedb8e;Entrada;2024-07-25;;221;2025-04-09
